tradedate,ticker,price_last
2025-03-06,"PETR4       ",34.26
2025-03-07,"PETR4       ",34.63
2025-03-10,"PETR4       ",34.62
2025-03-11,"PETR4       ",34.1
2025-03-12,"PETR4       ",34.1
2025-03-13,"PETR4       ",34.44
2025-03-14,"PETR4       ",35.5
2025-03-17,"PETR4       ",36.16
2025-03-18,"PETR4       ",36.19
2025-03-19,"PETR4       ",36.16
2025-03-20,"PETR4       ",36.24
2025-03-21,"PETR4       ",36.8
2025-03-24,"PETR4       ",36.75
2025-03-25,"PETR4       ",37.04
2025-03-26,"PETR4       ",37.39
2025-03-27,"PETR4       ",37.67
2025-03-28,"PETR4       ",37.43
2025-03-31,"PETR4       ",37.16
2025-04-01,"PETR4       ",37.3
2025-04-02,"PETR4       ",37.2
2025-04-03,"PETR4       ",36
2025-04-04,"PETR4       ",34.55
2025-04-07,"PETR4       ",33.18
2025-04-08,"PETR4       ",32
2025-04-09,"PETR4       ",33.3
2025-04-10,"PETR4       ",31.23
2025-04-11,"PETR4       ",31.85
2025-04-14,"PETR4       ",31.73
2025-04-15,"PETR4       ",31
2025-04-16,"PETR4       ",31
2025-04-17,"PETR4       ",30.85
2025-04-22,"PETR4       ",30.92
2025-04-23,"PETR4       ",30.57
2025-04-24,"PETR4       ",30.43
2025-04-25,"PETR4       ",30.52
2025-04-28,"PETR4       ",30.4
2025-04-29,"PETR4       ",30.56
2025-04-30,"PETR4       ",29.99
2025-05-02,"PETR4       ",30.81
2025-05-05,"PETR4       ",29.66
2025-05-06,"PETR4       ",30.15
2025-05-07,"PETR4       ",30.29
2025-05-08,"PETR4       ",30.71
2025-05-09,"PETR4       ",30.91
2025-05-12,"PETR4       ",31.65
2025-05-13,"PETR4       ",32.13
2025-05-14,"PETR4       ",31.91
2025-05-15,"PETR4       ",31.87
2025-05-16,"PETR4       ",32.02
2025-05-19,"PETR4       ",31.98
2025-05-20,"PETR4       ",32.11
2025-05-21,"PETR4       ",31.75
2025-05-22,"PETR4       ",31.33
2025-05-23,"PETR4       ",31.4
2025-05-26,"PETR4       ",31.3
2025-05-27,"PETR4       ",31.53
2025-05-28,"PETR4       ",31.43
2025-05-29,"PETR4       ",31.24
2025-05-30,"PETR4       ",30.9
2025-06-02,"PETR4       ",31.08
2025-06-03,"PETR4       ",30.18
2025-06-04,"PETR4       ",29.35
2025-06-05,"PETR4       ",29.36
2025-06-06,"PETR4       ",29.63
2025-06-09,"PETR4       ",29.17
2025-06-10,"PETR4       ",30.05
2025-06-11,"PETR4       ",31.05
2025-06-12,"PETR4       ",31.75
2025-06-13,"PETR4       ",32.53
2025-06-16,"PETR4       ",32.21
2025-06-17,"PETR4       ",32.94
2025-06-18,"PETR4       ",32.91
2025-06-20,"PETR4       ",32.82
2025-06-23,"PETR4       ",32
2025-06-24,"PETR4       ",31.37
2025-06-25,"PETR4       ",31.21
2025-06-26,"PETR4       ",31.46
2025-06-27,"PETR4       ",31.21
2025-06-30,"PETR4       ",31.38
2025-07-01,"PETR4       ",31.49
2025-07-02,"PETR4       ",32.05
2025-07-03,"PETR4       ",32.16
2025-07-04,"PETR4       ",32.12
2025-07-07,"PETR4       ",32.06
2025-07-08,"PETR4       ",32.52
2025-07-09,"PETR4       ",32.32
2025-07-10,"PETR4       ",32.24
2025-07-11,"PETR4       ",32.63
2025-07-14,"PETR4       ",32.2
2025-07-15,"PETR4       ",31.95
2025-07-16,"PETR4       ",31.79
2025-07-17,"PETR4       ",31.47
2025-07-18,"PETR4       ",30.99
2025-07-21,"PETR4       ",31.05
2025-07-22,"PETR4       ",31.35
2025-07-23,"PETR4       ",31.99
2025-07-24,"PETR4       ",31.94
2025-07-25,"PETR4       ",31.98
2025-07-28,"PETR4       ",32.02
2025-07-29,"PETR4       ",32.44
2025-07-30,"PETR4       ",32.77
2025-07-31,"PETR4       ",32.64
